id,age,income,home_ownership,employment_length,loan_intent,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_on_file,credit_history_length,loan_approval_status,max_allowed_loan
19180,40.0,182004,3,3,1,35000,8.0,0.19,0,11,1,35000
28072,40.0,90000,0,3,2,35000,12.42,0.39,0,14,1,35000
32074,40.0,131004,0,9,5,30000,7.9,0.23,0,13,1,30000
7224,40.0,150000,0,9,0,25000,11.89,0.17,0,11,1,25000
14471,40.0,132000,0,3,2,25000,16.82,0.22,0,17,1,25000
20163,40.0,80000,0,2,0,25000,10.25,0.31,0,11,1,25000
20384,40.0,80000,0,9,5,25000,18.67,0.3,0,17,1,25000
23400,40.0,60000,2,5,5,25000,11.97,0.42,1,12,1,25000
26072,40.0,85000,0,3,2,25000,12.18,0.29,0,16,1,25000
35460,40.0,69996,2,19,1,25000,18.25,0.36,0,14,1,25000
36188,40.0,186996,3,18,0,25000,6.99,0.12,0,17,1,25000
36659,40.0,120000,0,9,4,25000,10.75,0.21,0,12,1,25000
43862,40.0,179000,0,7,5,25000,10.99,0.14,0,17,1,25000
10960,40.0,140000,0,2,3,24500,11.83,0.17,0,14,1,24500
3196,40.0,210000,3,1,3,24000,10.65,0.11,0,15,1,24000
46477,40.0,150000,0,2,4,24000,11.83,0.16,0,13,1,24000
40816,40.0,170000,0,1,2,21000,14.72,0.12,0,12,1,21000
45972,40.0,125000,0,1,4,21000,6.99,0.17,0,16,1,21000
7235,40.0,120000,2,4,0,20000,15.95,0.17,0,15,1,20000
10997,40.0,60000,0,13,2,20000,14.54,0.33,0,14,1,20000
13254,40.0,80000,2,10,4,20000,18.62,0.25,0,14,1,20000
14864,40.0,72000,3,3,2,20000,13.47,0.28,0,16,1,20000
18625,40.0,78000,0,3,1,20000,11.83,0.26,0,15,1,20000
46640,40.0,200000,0,3,5,20000,11.86,0.1,0,14,1,20000
50169,40.0,190000,2,0,1,20000,6.03,0.1,0,14,1,20000
50227,40.0,130000,3,3,2,20000,14.09,0.15,0,13,1,20000
54246,40.0,109720,0,19,4,20000,10.75,0.18,0,14,1,20000
56246,40.0,80000,0,5,3,20000,13.23,0.25,0,12,1,20000
58036,40.0,98000,0,22,2,20000,9.88,0.2,0,16,1,20000
3057,40.0,96000,0,18,2,18000,15.27,0.19,0,12,1,18000
25530,40.0,100000,0,6,1,18000,6.99,0.18,0,14,1,18000
32727,40.0,60000,0,2,3,18000,10.37,0.31,0,14,1,18000
38863,40.0,550000,0,5,5,18000,11.12,0.03,0,13,1,18000
45676,40.0,142000,0,2,1,18000,12.99,0.13,1,14,1,18000
48072,40.0,80000,3,5,2,18000,10.99,0.23,0,16,1,18000
51798,40.0,79872,0,4,0,18000,12.68,0.23,0,12,1,18000
51939,40.0,50000,3,3,3,18000,10.25,0.36,0,15,1,18000
11839,40.0,120000,0,4,4,17625,7.49,0.15,0,17,1,17625
16976,40.0,108928,0,0,2,17600,14.27,0.15,1,14,1,17600
20215,40.0,75000,0,0,5,17600,6.76,0.23,0,17,1,17600
14326,40.0,78301,0,5,3,17000,6.62,0.22,0,13,1,17000
18432,40.0,54400,0,3,2,17000,12.99,0.28,1,13,1,17000
23619,40.0,60000,3,0,1,17000,11.71,0.28,0,13,1,17000
32547,40.0,70000,0,18,0,17000,11.12,0.24,0,12,1,17000
45142,40.0,60000,0,18,5,16750,7.88,0.28,0,14,1,16750
24043,40.0,200000,3,5,4,16000,11.14,0.08,0,13,1,16000
48324,40.0,110000,0,5,1,16000,10.25,0.15,0,13,1,16000
56853,40.0,67000,3,12,5,16000,9.99,0.24,0,13,1,16000
11140,40.0,56472,3,4,1,15775,14.42,0.28,0,15,1,15775
3151,40.0,75000,0,0,2,15000,8.94,0.2,0,17,1,15000
8202,40.0,60000,0,2,2,15000,8.94,0.25,0,13,1,15000
13549,40.0,58000,0,9,2,15000,6.17,0.26,0,14,1,15000
14916,40.0,77000,0,5,3,15000,12.21,0.19,0,14,1,15000
15566,40.0,50000,3,2,5,15000,11.26,0.3,0,15,1,15000
23813,40.0,60000,3,2,3,15000,13.11,0.25,1,14,1,15000
26499,40.0,150000,3,8,2,15000,10.25,0.1,0,13,1,15000
28140,40.0,60000,3,4,2,15000,14.96,0.25,1,16,1,15000
32331,40.0,110000,3,2,0,15000,5.42,0.14,0,12,1,15000
32477,40.0,90000,3,1,3,15000,14.26,0.17,1,15,1,15000
32712,40.0,50000,3,6,1,15000,16.89,0.3,0,17,1,15000
35072,40.0,60000,2,20,2,15000,13.43,0.25,1,13,1,15000
37787,40.0,69996,2,2,1,15000,12.84,0.21,0,11,1,15000
